geo_id,timestamp,val
757,2020-01-05,0.00000000
757,2020-01-06,0.00000000
757,2020-01-07,0.00000000
757,2020-01-08,0.00000000
757,2020-01-09,0.00000000
757,2020-01-10,0.00000000
757,2020-01-11,0.00000000
757,2020-01-12,0.00000000
757,2020-01-13,0.00000000
757,2020-01-14,0.00000000
757,2020-01-15,0.00000000
757,2020-01-16,0.00000000
757,2020-01-17,0.00000000
757,2020-01-18,0.00000000
757,2020-01-19,0.00000000
757,2020-01-20,0.00000000
757,2020-01-21,0.00000000
757,2020-01-22,0.00000000
757,2020-01-23,0.00000000
757,2020-01-24,0.00000000
757,2020-01-25,0.00000000
757,2020-01-26,2786.02067040
757,2020-01-27,0.00000000
757,2020-01-28,0.00000000
757,2020-01-29,0.00000000
757,2020-01-30,0.00000000
757,2020-01-31,0.00000000
757,2020-02-01,0.00000000
757,2020-02-02,0.00000000
757,2020-02-03,0.00000000
757,2020-02-04,0.00000000
757,2020-02-05,0.00000000
757,2020-02-06,0.00000000
757,2020-02-07,0.00000000
757,2020-02-08,0.00000000
757,2020-02-09,0.00000000
757,2020-02-10,0.00000000
757,2020-02-11,0.00000000
757,2020-02-12,0.00000000
757,2020-02-13,0.00000000
757,2020-02-14,0.00000000
757,2020-02-15,0.00000000
757,2020-02-16,0.00000000
757,2020-02-17,0.00000000
757,2020-02-18,0.00000000
757,2020-02-19,0.00000000
757,2020-02-20,0.00000000
757,2020-02-21,0.00000000
757,2020-02-22,0.00000000
757,2020-02-23,0.00000000
757,2020-02-24,0.00000000
757,2020-02-25,0.00000000
757,2020-02-26,0.00000000
757,2020-02-27,0.00000000
757,2020-02-28,0.00000000
757,2020-02-29,0.00000000
757,2020-03-01,0.00000000
757,2020-03-02,0.00000000
757,2020-03-03,0.00000000
757,2020-03-04,0.00000000
757,2020-03-05,0.00000000
757,2020-03-06,0.00000000
757,2020-03-07,0.00000000
757,2020-03-08,0.00000000
757,2020-03-09,0.00000000
757,2020-03-10,0.00000000
757,2020-03-11,0.00000000
757,2020-03-12,0.00000000
757,2020-03-13,2363.50744505
757,2020-03-14,0.00000000
757,2020-03-15,0.00000000
757,2020-03-16,0.00000000
757,2020-03-17,0.00000000
757,2020-03-18,0.00000000
757,2020-03-19,0.00000000
757,2020-03-20,2272.53875852
757,2020-03-21,5550.31193167
757,2020-03-22,8052.24055547
757,2020-03-23,6505.96637257
757,2020-03-24,2246.23799282
757,2020-03-25,0.00000000
757,2020-03-26,0.00000000
757,2020-03-27,0.00000000
757,2020-03-28,2557.84593514
757,2020-03-29,2462.75336831
757,2020-03-30,2163.47663786
757,2020-03-31,0.00000000
757,2020-04-01,0.00000000
757,2020-04-02,2133.10580205
757,2020-04-03,8744.71150900
757,2020-04-04,0.00000000
757,2020-04-05,2408.47784200
757,2020-04-06,0.00000000
757,2020-04-07,0.00000000
757,2020-04-08,0.00000000
757,2020-04-09,0.00000000
757,2020-04-10,0.00000000
757,2020-04-11,0.00000000
757,2020-04-12,0.00000000
757,2020-04-13,0.00000000
757,2020-04-14,0.00000000
757,2020-04-15,0.00000000
757,2020-04-16,4093.18402521
757,2020-04-17,0.00000000
757,2020-04-18,4988.31022251
757,2020-04-19,0.00000000
757,2020-04-20,0.00000000
757,2020-04-21,0.00000000
757,2020-04-22,0.00000000
757,2020-04-23,2095.99664641
757,2020-04-24,0.00000000
757,2020-04-25,0.00000000
757,2020-04-26,0.00000000
757,2020-04-27,0.00000000
757,2020-04-28,0.00000000
757,2020-04-29,0.00000000
757,2020-04-30,0.00000000
757,2020-05-01,2244.16517056
757,2020-05-02,0.00000000
757,2020-05-03,0.00000000
