geo_id,timestamp,val
523,2020-01-05,0.00000000
523,2020-01-06,0.00000000
523,2020-01-07,0.00000000
523,2020-01-08,0.00000000
523,2020-01-09,0.00000000
523,2020-01-10,0.00000000
523,2020-01-11,0.00000000
523,2020-01-12,0.00000000
523,2020-01-13,0.00000000
523,2020-01-14,0.00000000
523,2020-01-15,0.00000000
523,2020-01-16,0.00000000
523,2020-01-17,0.00000000
523,2020-01-18,0.00000000
523,2020-01-19,0.00000000
523,2020-01-20,2568.05341551
523,2020-01-21,0.00000000
523,2020-01-22,0.00000000
523,2020-01-23,5235.60209424
523,2020-01-24,0.00000000
523,2020-01-25,0.00000000
523,2020-01-26,0.00000000
523,2020-01-27,0.00000000
523,2020-01-28,2510.67034898
523,2020-01-29,0.00000000
523,2020-01-30,0.00000000
523,2020-01-31,2642.00792602
523,2020-02-01,0.00000000
523,2020-02-02,0.00000000
523,2020-02-03,0.00000000
523,2020-02-04,0.00000000
523,2020-02-05,0.00000000
523,2020-02-06,0.00000000
523,2020-02-07,0.00000000
523,2020-02-08,0.00000000
523,2020-02-09,0.00000000
523,2020-02-10,0.00000000
523,2020-02-11,0.00000000
523,2020-02-12,0.00000000
523,2020-02-13,0.00000000
523,2020-02-14,0.00000000
523,2020-02-15,0.00000000
523,2020-02-16,0.00000000
523,2020-02-17,0.00000000
523,2020-02-18,0.00000000
523,2020-02-19,0.00000000
523,2020-02-20,0.00000000
523,2020-02-21,0.00000000
523,2020-02-22,0.00000000
523,2020-02-23,0.00000000
523,2020-02-24,2655.33722783
523,2020-02-25,0.00000000
523,2020-02-26,0.00000000
523,2020-02-27,0.00000000
523,2020-02-28,0.00000000
523,2020-02-29,0.00000000
523,2020-03-01,0.00000000
523,2020-03-02,0.00000000
523,2020-03-03,0.00000000
523,2020-03-04,0.00000000
523,2020-03-05,0.00000000
523,2020-03-06,0.00000000
523,2020-03-07,0.00000000
523,2020-03-08,0.00000000
523,2020-03-09,0.00000000
523,2020-03-10,0.00000000
523,2020-03-11,0.00000000
523,2020-03-12,0.00000000
523,2020-03-13,0.00000000
523,2020-03-14,0.00000000
523,2020-03-15,0.00000000
523,2020-03-16,2364.06619385
523,2020-03-17,0.00000000
523,2020-03-18,2488.80039821
523,2020-03-19,0.00000000
523,2020-03-20,0.00000000
523,2020-03-21,2696.87162891
523,2020-03-22,0.00000000
523,2020-03-23,12936.61060802
523,2020-03-24,8980.39011637
523,2020-03-25,0.00000000
523,2020-03-26,4605.41697128
523,2020-03-27,0.00000000
523,2020-03-28,5412.71989175
523,2020-03-29,4839.09992741
523,2020-03-30,0.00000000
523,2020-03-31,2273.76080036
523,2020-04-01,0.00000000
523,2020-04-02,6365.57642813
523,2020-04-03,2183.88294387
523,2020-04-04,2642.00792602
523,2020-04-05,2566.73511294
523,2020-04-06,2226.61751545
523,2020-04-07,4669.62409526
523,2020-04-08,0.00000000
523,2020-04-09,0.00000000
523,2020-04-10,0.00000000
523,2020-04-11,2427.77373149
523,2020-04-12,2615.06276151
523,2020-04-13,2148.72289988
523,2020-04-14,0.00000000
523,2020-04-15,0.00000000
523,2020-04-16,2092.05020921
523,2020-04-17,0.00000000
523,2020-04-18,0.00000000
523,2020-04-19,2582.98170718
523,2020-04-20,0.00000000
523,2020-04-21,0.00000000
523,2020-04-22,0.00000000
523,2020-04-23,0.00000000
523,2020-04-24,0.00000000
523,2020-04-25,0.00000000
523,2020-04-26,0.00000000
523,2020-04-27,0.00000000
523,2020-04-28,0.00000000
523,2020-04-29,0.00000000
523,2020-04-30,0.00000000
523,2020-05-01,0.00000000
523,2020-05-02,0.00000000
523,2020-05-03,0.00000000
523,2020-05-04,0.00000000
523,2020-05-05,0.00000000
523,2020-05-06,0.00000000
523,2020-05-07,0.00000000
523,2020-05-08,0.00000000
523,2020-05-09,0.00000000
523,2020-05-10,0.00000000
523,2020-05-11,0.00000000
523,2020-05-12,0.00000000
523,2020-05-13,0.00000000
523,2020-05-14,0.00000000
523,2020-05-15,0.00000000
523,2020-05-16,0.00000000
523,2020-05-17,0.00000000
523,2020-05-18,2378.12128419
523,2020-05-19,0.00000000
523,2020-05-20,2411.38172173
523,2020-05-21,0.00000000
523,2020-05-22,0.00000000
523,2020-05-23,0.00000000
523,2020-05-24,0.00000000
523,2020-05-25,0.00000000
523,2020-05-26,0.00000000
523,2020-05-27,0.00000000
523,2020-05-28,0.00000000
523,2020-05-29,0.00000000
523,2020-05-30,0.00000000
523,2020-05-31,0.00000000
523,2020-06-01,0.00000000
523,2020-06-02,0.00000000
523,2020-06-03,0.00000000
523,2020-06-04,0.00000000
523,2020-06-05,0.00000000
523,2020-06-06,2728.51296044
523,2020-06-07,0.00000000
523,2020-06-08,0.00000000
523,2020-06-09,0.00000000
523,2020-06-10,0.00000000
523,2020-06-11,0.00000000
523,2020-06-12,0.00000000
523,2020-06-13,0.00000000
523,2020-06-14,0.00000000
523,2020-06-15,0.00000000
523,2020-06-16,0.00000000
523,2020-06-17,0.00000000
523,2020-06-18,0.00000000
523,2020-06-19,0.00000000
523,2020-06-20,0.00000000
523,2020-06-21,0.00000000
523,2020-06-22,0.00000000
523,2020-06-23,0.00000000
523,2020-06-24,0.00000000
523,2020-06-25,0.00000000
523,2020-06-26,2813.73100732
523,2020-06-27,0.00000000
523,2020-06-28,0.00000000
523,2020-06-29,0.00000000
523,2020-06-30,0.00000000
523,2020-07-01,2452.78390974
523,2020-07-02,0.00000000
523,2020-07-03,0.00000000
523,2020-07-04,0.00000000
523,2020-07-05,0.00000000
523,2020-07-06,0.00000000
523,2020-07-07,0.00000000
523,2020-07-08,2510.67034898
523,2020-07-09,0.00000000
523,2020-07-10,0.00000000
523,2020-07-11,0.00000000
523,2020-07-12,0.00000000
523,2020-07-13,2538.71541000
523,2020-07-14,0.00000000
523,2020-07-15,0.00000000
523,2020-07-16,0.00000000
523,2020-07-17,0.00000000
523,2020-07-18,0.00000000
523,2020-07-19,0.00000000
523,2020-07-20,0.00000000
523,2020-07-21,5363.36819523
523,2020-07-22,0.00000000
523,2020-07-23,0.00000000
523,2020-07-24,0.00000000
523,2020-07-25,0.00000000
523,2020-07-26,0.00000000
523,2020-07-27,0.00000000
523,2020-07-28,2663.82525306
523,2020-07-29,0.00000000
523,2020-07-30,0.00000000
523,2020-07-31,0.00000000
523,2020-08-01,3063.72549020
523,2020-08-02,0.00000000
523,2020-08-03,0.00000000
523,2020-08-04,0.00000000
523,2020-08-05,0.00000000
523,2020-08-06,0.00000000
523,2020-08-07,0.00000000
523,2020-08-08,0.00000000
523,2020-08-09,0.00000000
523,2020-08-10,0.00000000
523,2020-08-11,0.00000000
523,2020-08-12,0.00000000
523,2020-08-13,0.00000000
523,2020-08-14,0.00000000
523,2020-08-15,6255.86487332
523,2020-08-16,0.00000000
523,2020-08-17,0.00000000
523,2020-08-18,0.00000000
523,2020-08-19,0.00000000
